id;start_date;end_date;language
1;2023-02-20T06:55:01;2023-02-20T04:45:16;ENGLISH
2;2023-02-19T16:22:36;2023-02-20T01:48:05;FRENCH
3;2023-02-20T02:18:48;2023-02-19T14:23:56;SPANISH
4;2023-02-20T06:49:37;2023-02-19T12:15:56;FRENCH
5;2023-02-20T09:06:00;2023-02-19T17:24:58;ENGLISH
6;2023-02-19T18:36:43;2023-02-20T08:37:03;SPANISH
7;2023-02-20T02:40:31;2023-02-19T13:14:40;FRENCH
8;2023-02-19T17:06:24;2023-02-19T13:42:13;FRENCH
9;2023-02-19T17:58:02;2023-02-20T05:29:28;FRENCH
10;2023-02-19T13:55:00;2023-02-20T06:52:29;FRENCH
